phil_id,name,era,summary
0,Thales of Miletus,Greek,"""Thales of Miletus (; Greek: Θαλῆς (ὁ Μῑλήσιος), Thalēs; c. 624 – c. 546 BC) was a pre-Socratic Greek philosopher, mathematician and astronomer from Miletus in Asia Minor (present-day Milet in Turkey). He was one of the Seven Sages of Greece. Many, most notably Aristotle, regarded him as the first philosopher in the Greek tradition, and he is otherwise historically recognized as the first individual in Western civilization known to have entertained and engaged in scientific philosophy.
Thales is recognized for breaking from the use of mythology to explain the world and the universe, and instead explaining natural objects and phenomena by theories and hypotheses, i.e. science. Almost all the other Pre-Socratic philosophers followed him in explaining nature as deriving from a unity of everything based on the existence of a single ultimate substance, instead of using mythological explanations. Aristotle reported Thales' hypothesis that the originating principle of nature and the nature of matter was a single material substance: water.
In mathematics, Thales used geometry to calculate the heights of pyramids and the distance of ships from the shore. He is the first known individual to use deductive reasoning applied to geometry, by deriving four corollaries to Thales' theorem. He is the first known individual to whom a mathematical discovery has been attributed."""
1,Pherecydes of Syros,Greek,"""Pherecydes of Syros (; Φερεκύδης ὁ Σύριος; fl. 6th century BC) was a Greek thinker from the island of Syros. Pherecydes authored a cosmogony, derived from three divine principles, Zas (Zeus), Cthonie (Earth) and Chronos (Time), known as the 'Pentemychos' (Πεντέμυχος, 'of the five recesses'; sometimes the alternative title 'Heptamychos', 'seven recesses' is given). It formed a bridge between the mythological thought of Hesiod and pre-Socratic philosophy. His work is lost, but it survived into the Hellenistic period and we are informed on part of its content indirectly. Pherecydes was said to have been the first writer to communicate philosophical musings in prose. According to William (ca. 1896), Aristotle regarded him partly a mythological writer and Plutarch, as well as many other writers gave him the title of Theologus."""
2,Anaximander,Greek,"""Anaximander (; Greek: Ἀναξίμανδρος Anaximandros; c. 610 – c. 546 BC) was a pre-Socratic Greek philosopher who lived in Miletus, a city of Ionia (in modern-day Turkey). He belonged to the Milesian school and learned the teachings of his master Thales. He succeeded Thales and became the second master of that school where he counted Anaximenes and, arguably, Pythagoras amongst his pupils.
Little of his life and work is known today. According to available historical documents, he is the first philosopher known to have written down his studies, although only one fragment of his work remains. Fragmentary testimonies found in documents after his death provide a portrait of the man.
He was an early proponent of science and tried to observe and explain different aspects of the universe, with a particular interest in its origins, claiming that nature is ruled by laws, just like human societies, and anything that disturbs the balance of nature does not last long. Like many thinkers of his time, Anaximander's philosophy included contributions to many disciplines. In astronomy, he attempted to describe the mechanics of celestial bodies in relation to the Earth. In physics, his postulation that the indefinite (or apeiron) was the source of all things led Greek philosophy to a new level of conceptual abstraction. His knowledge of geometry allowed him to introduce the gnomon in Greece. He created a map of the world that contributed greatly to the advancement of geography. He was also involved in the politics of Miletus and was sent as a leader to one of its colonies.

"""
3,Anaximenes of Miletus,Greek,"""Anaximenes of Miletus (; Greek: Ἀναξιμένης ὁ Μιλήσιος; c. 585 – c. 528 BCE) was an Ancient Greek Pre-Socratic philosopher active in the latter half of the 6th century BC. One of the three Milesian philosophers, he is identified as a younger friend or student of Anaximander. Anaximenes, like others in his school of thought, practiced material monism. This tendency to identify one specific underlying reality made up of a material thing is what Anaximenes is principally known for today."""
4,Pythagoras,Greek,"""Pythagoras of Samos (US: ; UK: ; Greek: Πυθαγόρας ὁ Σάμιος Pythagóras ho Sámios 'Pythagoras the Samian', or simply Πυθαγόρας; Πυθαγόρης in Ionian Greek; c. 570–495 BC) was an Ionian Greek philosopher, mathematician, and putative founder of the Pythagoreanism movement. He is often revered as a great mathematician and scientist and is best known for the Pythagorean theorem which bears his name.
Legend and obfuscation cloud his work, so it is uncertain whether he truly contributed much to mathematics or natural philosophy. Many of the accomplishments credited to Pythagoras may actually have been accomplishments of his colleagues or successors. Some accounts mention that the philosophy associated with Pythagoras was related to mathematics and that numbers were important. It was said that he was the first man to call himself a philosopher, or lover of wisdom, and Pythagorean ideas exercised a marked influence on Plato, and through him, all of Western philosophy."""
5,Xenophanes,Greek,"""Xenophanes of Colophon (; Ancient Greek: Ξενοφάνης ὁ Κολοφώνιος [ksenopʰánɛːs ho kolopʰɔ̌ːnios]; c. 570 – c. 475 BC) was a Greek philosopher, theologian, poet, and social and religious critic. Xenophanes lived a life of travel, having left Ionia at the age of 25 and continuing to travel throughout the Greek world for another 67 years. Some scholars say he lived in exile in Sicily. Knowledge of his views comes from fragments of his poetry, surviving as quotations by later Greek writers. To judge from these, his elegiac and iambic poetry criticized and satirized a wide range of ideas, including Homer and Hesiod, the belief in the pantheon of anthropomorphic gods and the Greeks' veneration of athleticism. He is the earliest Greek poet who claims explicitly to be writing for future generations, creating 'fame that will reach all of Greece, and never die while the Greek kind of songs survives.'"""
6,Epicharmus of Kos,Greek,"""Epicharmus of Kos or Epicharmus Comicus or Epicharmus Comicus Syracusanus (Greek: Ἐπίχαρμος ὁ Κῷος), thought to have lived between c. 540 and c. 450 BC, was a Greek dramatist and philosopher often credited with being one of the first comic writers, having originated the Doric or Sicilian comedic form. Aristotle (Poetics 5.1449b5) writes that he and Phormis invented comic plots (μῦθοι, muthoi). Most of the information we have about Epicharmus comes from the writings of Athenaeus, Suda and Diogenes Laertius, but fragments and comments come up in a host of other ancient authors as well. There have also been some papyrus finds of longer sections of text, but these are often so full of holes that it is difficult to make sense of them. Plato mentions Epicharmus in his dialogue Gorgias and in Theaetetus. In the latter, Socrates refers to Epicharmus as 'the prince of Comedy', Homer as 'the prince of Tragedy', and both as 'great masters of either kind of poetry'. More references by ancient authors can be found discussed in Pickard-Cambridge's Dithyramb, Tragedy, Comedy and they are collected in Greek in Kassel and Austin's new edition of the fragments in Poetae Comici Graeci (2001)."""
7,Heraclitus,Greek,"""Heraclitus of Ephesus (; Greek: Ἡράκλειτος ὁ Ἐφέσιος, Hērákleitos ho Ephésios; c. 535 – c. 475 BC) was a pre-Socratic Greek philosopher, and a native of the city of Ephesus, then part of the Persian Empire. He was of distinguished parentage. Little is known about his early life and education, but he regarded himself as self-taught and a pioneer of wisdom. From the lonely life he led, and still more from the apparently riddled and allegedly paradoxical nature of his philosophy and his stress upon the needless unconsciousness of humankind, he was called 'The Obscure' and the 'Weeping Philosopher'.
Heraclitus was famous for his insistence on ever-present change as being the fundamental essence of the universe, as stated in the famous saying, 'No man ever steps in the same river twice' (see panta rhei, below). This position was complemented by his stark commitment to a unity of opposites in the world, stating that 'the path up and down are one and the same'. Through these doctrines Heraclitus characterized all existing entities by pairs of contrary properties, whereby no entity may ever occupy a single state at a single time. This, along with his cryptic utterance that 'all entities come to be in accordance with this Logos' (literally, 'word', 'reason', or 'account') has been the subject of numerous interpretations."""
8,Parmenides,Greek,"""Parmenides of Elea (; Greek: Παρμενίδης ὁ Ἐλεάτης; fl. late sixth or early fifth century BC) was a pre-Socratic Greek philosopher from Elea in Magna Graecia (Greater Greece, included Southern Italy). He was the founder of the Eleatic school of philosophy. The single known work of Parmenides is a poem, On Nature, which has survived only in fragmentary form. In this poem, Parmenides describes two views of reality. In 'the way of truth' (a part of the poem), he explains how reality (coined as 'what-is') is one, change is impossible, and existence is timeless, uniform, necessary, and unchanging. In 'the way of opinion', he explains the world of appearances, in which one's sensory faculties lead to conceptions which are false and deceitful."""
9,Anaxagoras,Greek,"""Anaxagoras (; Greek: Ἀναξαγόρας, Anaxagoras, 'lord of the assembly'; c. 510 – c. 428 BC) was a Pre-Socratic Greek philosopher. Born in Clazomenae in the Persian Empire (modern-day Urla, Turkey) Anaxagoras was the first to bring philosophy to Athens. According to Diogenes Laertius and Plutarch, in later life he was charged with impiety and went into exile in Lampsacus; the charges may have been political, owing to his association with Pericles, if they were not fabricated by later ancient biographers.
Responding to the claims of Parmenides on the impossibility of change, Anaxagoras described the world as a mixture of primary imperishable ingredients, where material variation was never caused by an absolute presence of a particular ingredient, but rather by its relative preponderance over the other ingredients; in his words, 'each one is... most manifestly those things of which there are the most in it'. He introduced the concept of Nous (Mind) as an ordering force, which moved and separated out the original mixture, which was homogeneous, or nearly so.
He also gave a number of novel scientific accounts of natural phenomena. He produced a correct explanation for eclipses and described the sun as a fiery mass larger than the Peloponnese, as well as attempting to explain rainbows and meteors."""
