phil1id,source,phil2id,target
380,Babylonian astronomy,0,Thales of Miletus,
381,Ancient Egyptian mathematics,0,Thales of Miletus,
382,Ancient Egyptian religion,0,Thales of Miletus,
0,Thales of Miletus,380,Babylonian astronomy,
0,Thales of Miletus,381,Ancient Egyptian mathematics,
0,Thales of Miletus,382,Ancient Egyptian religion,
383,Hesiod,1,Pherecydes,
1,Pherecydes,383,Hesiod,
0,Thales of Miletus,2,Anaximander,
2,Anaximander,0,Thales of Miletus,
0,Thales of Miletus,3,Anaximenes of Miletus,
0,Thales of Miletus,4,Pythagoras,
2,Anaximander,4,Pythagoras,
1,Pherecydes,4,Pythagoras,
387,Themistoclea,4,Pythagoras,
4,Pythagoras,0,Thales of Miletus,
4,Pythagoras,2,Anaximander,
4,Pythagoras,1,Pherecydes,
4,Pythagoras,387,Themistoclea,
0,Thales of Miletus,5,Xenophanes,
393,Epimenides,5,Xenophanes,
4,Pythagoras,5,Xenophanes,
5,Xenophanes,0,Thales of Miletus,
5,Xenophanes,393,Epimenides,
2,Anaximander,7,Heraclitus,
4,Pythagoras,7,Heraclitus,
395,Bias of Priene,7,Heraclitus,
396,Zoroaster,7,Heraclitus,
7,Heraclitus,2,Anaximander,
7,Heraclitus,4,Pythagoras,
7,Heraclitus,395,Bias of Priene,
7,Heraclitus,396,Zoroaster,
4,Pythagoras,8,Parmenides,
408,Xenophanes of Colophon,8,Parmenides,
7,Heraclitus,8,Parmenides,
8,Parmenides,4,Pythagoras,
8,Parmenides,408,Xenophanes of Colophon,
8,Parmenides,7,Heraclitus,
411,Milesian school,9,Anaxagoras,
9,Anaxagoras,411,Milesian school,
8,Parmenides,10,Empedocles,
413,Pythagoreanism,10,Empedocles,
10,Empedocles,8,Parmenides,
10,Empedocles,413,Pythagoreanism,
8,Parmenides,11,Zeno of Elea,
11,Zeno of Elea,8,Parmenides,
21,Democritus,12,Protagoras,
8,Parmenides,12,Protagoras,
12,Protagoras,21,Democritus,
12,Protagoras,8,Parmenides,
10,Empedocles,15,Gorgias,
8,Parmenides,15,Gorgias,
11,Zeno of Elea,15,Gorgias,
15,Gorgias,10,Empedocles,
15,Gorgias,8,Parmenides,
15,Gorgias,11,Zeno of Elea,
18,Prodicus,16,Socrates,
9,Anaxagoras,16,Socrates,
36,Archelaus,16,Socrates,
16,Socrates,18,Prodicus,
11,Zeno of Elea,19,Leucippus,
19,Leucippus,11,Zeno of Elea,
19,Leucippus,21,Democritus,
37,Melissus of Samos,21,Democritus,
21,Democritus,19,Leucippus,
21,Democritus,37,Melissus of Samos,
16,Socrates,23,Antisthenes,
15,Gorgias,23,Antisthenes,
23,Antisthenes,16,Socrates,
23,Antisthenes,15,Gorgias,
